House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H05,V1,H05 V1,2022-08-01 H05 V1,In,2022-08-01T00:00:00Z,37.416666666666664,24,Summer,Lindon,<0.01,NA,6.742607557518968,TRUE,0.0067,43.188447653429606,35.4,50.6,22.012635379061372,21.2,22.8,23.083333333333332,Central,AC,Low
H10,V1,H10 V1,2022-08-11 H10 V1,In,2022-08-11T00:00:00Z,38.416666666666664,24,Summer,Spanish Fork,<0.01,NA,6.745784665291721,TRUE,0.0067,52.99305555555556,51.1,55.3,21.578472222222224,21.4,21.9,12,Central,AC,Low
H09,V3,H09 V3,2022-08-15 H15 V1,In,2022-08-15T00:00:00Z,36.26086956521739,23,Summer,Lindon,NA,NA,NA,NA,NA,54.642652329749104,37.9,58.3,22.727240143369176,22.4,29.7,23.25,Central,AC,NA
H16,V1,H16 V1,2022-08-17 H16 V1,In,2022-08-17T00:00:00Z,42.708333333333336,24,Summer,Spanish Fork,<0.01,NA,6.755606476498676,TRUE,0.0068,39.10633802816901,33.3,42.8,23.635563380281692,22.5,25.6,23.666666666666668,Central,AC,Low
H17,V1,H17 V1,2022-09-01 H17 V1,In,2022-09-01T00:00:00Z,44.541666666666664,24,Summer,Spanish Fork,4.1000000000000002E-2,24.976531898223943,3.445038882513647,FALSE,0.025,56.00669014084507,39,64.8,20.470070422535212,17.8,24.5,23.666666666666668,Evaporative,EC,High
H17,V3,H17 V3,2023-08-03 H17 V3,In,2023-08-03T00:00:00Z,43.166666666666664,24,Summer,Spanish Fork,3.1E-2,18.93382046064245,3.4425128110258996,FALSE,0.0189,59.184615384615384,45.9,69.8,23.203846153846154,21.1,24.7,23.833333333333332,Evaporative,EC,High
H27,V1,H27 V1,2023-07-20 H27 V1,In,2023-07-20T00:00:00Z,44.208333333333336,24,Summer,Lindon,3.5999999999999997E-2,21.64248207196112,3.4627971315137778,FALSE,0.0216,61.43780918727915,52.8,65.9,23.389399293286218,21.8,25.6,23.583333333333332,Evaporative,EC,High
H27,V2,H27 V2,2023-08-29 H27 V2,In,2023-08-29T00:00:00Z,41.166666666666664,24,Summer,Lindon,9.4000000000000004E-3,5.6733632050978215,3.438401942483528,FALSE,0.0057,34.35457746478873,29.5,44.7,27.87218309859155,26.6,28.6,23.666666666666668,Evaporative,EC,High
H29,V1,H29 V1,2023-08-10 H29 V1,In,2023-08-10T00:00:00Z,36.26086956521739,23,Summer,Lindon,<0.0058,NA,3.4659697164458914,TRUE,0.0035,35.00498220640569,29.5,47,21.225622775800712,19.4,24.9,23.416666666666668,Evaporative,EC,High
H02,V1,H02 V1,2022-07-26 H02 V1,Out,2022-07-26T00:00:00Z,48.708333333333336,24,Summer,Spanish Fork,7.3999999999999996E-2,44.43195819751148,7.109113311601833,FALSE,0.0444,20.58149466192171,5.5,40.5,26.754459616724738,17.39663,36.17219,23.916666666666668,Central,AC,Low
H02,V4,H02 V4,2023-08-31 H02 V4,Out,2023-08-31T00:00:00Z,39.84,25,Summer,Spanish Fork,6.5000000000000002E-2,39.389916105115944,3.580901464101448,FALSE,0.0394,36.75725201342282,18.99696,78.20777,23.266313523489934,15.16651,33.63597,24.833333333333332,Central,AC,High
H05,V1,H05 V1,2022-08-01 H05 V1,Out,2022-08-01T00:00:00Z,37.416666666666664,24,Summer,Lindon,3.9E-2,23.985491454153216,6.852997558329489,FALSE,0.024,66.52727272727273,17.6,94,22.60999222222222,17.28011,34.25325,24,Central,AC,Low
H10,V1,H10 V1,2022-08-11 H10 V1,Out,2022-08-11T00:00:00Z,38.416666666666664,24,Summer,Spanish Fork,0.06,35.89661852683664,6.837451147968883,FALSE,0.0359,51.494730103448276,24.95112,70.43075,22.723190724137933,17.33408,32.28893,24.166666666666668,Central,AC,Low
H09,V3,H09 V3,2022-08-15 H15 V1,Out,2022-08-15T00:00:00Z,36.26086956521739,23,Summer,Lindon,NA,NA,NA,NA,NA,45.08387096774194,20.3,71.9,24.171873357142857,16.4729,34.04824,23.333333333333332,Central,AC,NA
